Symbol,P/E,EV/Sales,ROE,EPS,Current Ratio,Debt/Equity,Beta,Dividend Yield,Revenue Growth,EV/EBITDA,Profit Margin,Gross Margin
ELV,12.819444,0.342,0.1325,25.2,1.535,74.388,0.498,2.13,0.095,7.531,0.02843,0.25563
TT,36.233635,5.116,0.36956,13.14,1.251,63.247,1.212,0.88,0.056,25.891,0.13688,0.36161
MCO,33.334553,11.126,0.62078,13.66,1.74,176.813,1.446,0.9,0.13,22.979,0.31861,0.74435997
CMG,31.429827,4.251,0.47355,1.14,1.235,179.319,1.064,,0.049,21.282,0.12878,0.40098998
INTC,,6.886,0.00022,-0.06,2.017,37.282,1.349,,-0.041,28.808,-0.00505,0.36563998
KLAC,52.07674,18.495,1.00726,34.4,2.828,111.778,1.435,0.42,0.072,41.051,0.35764,0.61574
ABNB,35.12407,6.218,0.30233,4.03,1.377,27.698,1.16,,0.12,29.572,0.20513001,0.82959
DUK,20.290016,6.058,0.09724,6.31,0.552,171.838,0.454,3.33,0.08,11.828,0.15628,0.51897
PH,36.100765,6.562,0.25781,27.39,1.182,68.925,1.25,0.73,0.091,25.057,0.17287001,0.37427
CDNS,76.42014,15.918,0.21855,4.07,2.856,48.707,1.041,,0.062,44.187,0.20934999,0.86364
WM,33.425373,4.525,0.29696,6.7,0.889,239.385,0.547,1.53,0.071,15.087,0.10744,0.40438
DELL,22.617952,1.3,,8.69,0.91,,0.954,1.28,0.395,12.887,0.05228,0.20125
MDLZ,30.291006,2.421,0.09332,1.89,0.592,84.848,0.389,3.49,0.093,18.694,0.0636,0.28375
MAR,39.69853,16.753,,9.52,0.427,,1.097,0.71,0.063,25.445,0.37252998,0.79074997
MSI,34.71799,7.005,1.04197,12.73,1.037,402.39,0.992,1.1,0.123,23.228,0.18439,0.51798
WELL,149.30498,15.161,0.025390001,1.41,1.697,49.488,0.821,1.41,0.413,61.665,0.08644,0.40223
AON,19.49471,4.932,0.4694,17.02,1.11,168.318,0.825,0.99,0.037,14.961,0.21506001,0.47197
REGN,18.081669,4.977,0.14864999,41.51,4.126,9.511,0.397,0.5,0.025,16.815,0.31409,0.44566002
CI,12.56267,0.35,0.1513,22.18,0.849,75.137,0.272,2.24,0.104,7.995,0.02167,0.092980005
HCA,17.213404,2.116,,28.35,0.965,,1.366,0.64,0.067,10.327,0.08974,0.415
PNC,13.055169,6.54,0.12104,17.22,,,0.956,3.02,0.138,,0.31312,0.0
ITW,25.97901,5.412,0.93718004,10.48,1.21,285.524,1.145,2.37,0.041,18.652,0.1911,0.44097
SNPS,68.95399,11.837,0.055430003,6.52,1.363,35.579,1.148,,0.655,58.689,0.13756,0.82024
CTAS,37.72,6.749,0.41303003,4.75,1.983,60.943,1.006,1.0,0.089,25.634,0.17568001,0.50361997
CL,32.627373,3.741,4.9747,2.63,0.833,2343.562,0.331,2.47,0.058,15.664,0.1046,0.60107
USB,11.935011,4.751,0.123500004,4.77,,,1.034,3.62,0.046,,0.29294002,0.0
FTNT,33.81818,8.535,1.3571601,2.42,1.172,85.802,0.998,,0.148,26.068,0.27257,0.80456
ZTS,20.328903,6.196,0.65992,6.02,3.028,279.586,0.974,1.73,0.03,14.427,0.28235,0.71892
MCK,24.996538,0.284,,34.66,0.876,,0.423,0.38,0.114,19.078,0.01091,0.03453
GD,21.780441,1.87,0.17658001,15.44,1.444,38.205,0.387,1.81,0.078,15.487,0.08011,0.1513
TDG,40.651253,10.868,,31.14,2.75,,0.955,,0.139,21.32,0.22239,0.59693
CEG,39.974358,4.442,0.16364,7.41,1.526,63.94,1.188,0.58,0.129,20.138,0.09082,0.1838
AJG,38.608017,5.321,0.06906,5.74,1.056,58.354,0.683,1.26,0.367,19.897,0.11484,0.42163
EMR,35.870102,5.2,0.09646,4.08,0.841,69.283,1.278,1.52,0.041,16.09,0.12718001,0.52757
MMM,25.758333,3.473,0.75501,6.0,1.708,276.638,1.158,2.02,0.02,14.403,0.13027,0.39915
ORLY,31.552189,4.885,,2.97,0.769,,0.598,,0.078,21.872,0.14274,0.51592
